iter	Passed	Remaining
0	155	155841
1	163	81450
2	170	56666
3	176	44044
4	183	36491
5	189	31464
6	196	27856
7	203	25244
8	210	23183
9	216	21475
10	224	20145
11	230	18967
12	236	17975
13	243	17124
14	249	16369
15	255	15733
16	261	15148
17	269	14686
18	276	14284
19	283	13903
20	289	13518
21	296	13163
22	302	12837
23	308	12532
24	314	12280
25	321	12049
26	328	11834
27	334	11621
28	340	11415
29	351	11378
30	358	11213
31	365	11045
32	371	10891
33	377	10733
34	383	10584
35	391	10475
36	397	10351
37	405	10253
38	411	10147
39	419	10060
40	425	9960
41	433	9884
42	441	9821
43	448	9736
44	454	9652
45	463	9602
46	470	9530
47	476	9448
48	482	9369
49	489	9299
50	495	9223
51	503	9170
52	509	9109
53	516	9044
54	523	8991
55	529	8929
56	536	8868
57	542	8808
58	548	8748
59	555	8695
60	562	8652
61	569	8608
62	576	8574
63	583	8526
64	589	8476
65	595	8428
66	602	8385
67	608	8346
68	615	8306
69	622	8264
70	628	8223
71	635	8192
72	643	8173
73	650	8142
74	658	8116
75	665	8089
76	672	8056
77	678	8025
78	685	7993
79	692	7958
80	698	7927
81	705	7893
82	711	7861
83	717	7826
84	724	7801
85	731	7769
86	738	7747
87	744	7720
88	751	7693
89	757	7664
90	764	7634
91	770	7605
92	779	7605
93	787	7594
94	795	7576
95	801	7549
96	808	7522
97	814	7499
98	822	7484
99	829	7462
100	835	7435
101	841	7412
102	848	7390
103	855	7368
104	861	7346
105	868	7328
106	875	7308
107	882	7285
108	889	7270
109	896	7253
110	903	7234
111	909	7214
112	917	7200
113	924	7183
114	930	7162
115	938	7149
116	944	7131
117	951	7112
118	957	7092
119	965	7078
120	971	7057
121	977	7037
122	984	7019
123	991	7005
124	999	6996
125	1006	6979
126	1012	6960
127	1019	6943
128	1025	6926
129	1032	6910
130	1039	6897
131	1046	6881
132	1053	6866
133	1059	6848
134	1066	6832
135	1073	6817
136	1079	6800
137	1087	6790
138	1093	6775
139	1100	6758
140	1106	6740
141	1112	6722
142	1119	6706
143	1125	6689
144	1131	6673
145	1138	6659
146	1145	6645
147	1152	6635
148	1159	6620
149	1166	6610
150	1173	6600
151	1180	6586
152	1187	6574
153	1193	6558
154	1200	6544
155	1206	6528
156	1213	6517
157	1221	6507
158	1227	6494
159	1234	6480
160	1241	6468
161	1247	6454
162	1255	6446
163	1262	6433
164	1268	6419
165	1275	6405
166	1281	6393
167	1287	6378
168	1294	6364
169	1300	6350
170	1307	6338
171	1314	6325
172	1323	6324
173	1329	6312
174	1336	6298
175	1343	6289
176	1351	6283
177	1358	6274
178	1365	6262
179	1373	6255
180	1379	6243
181	1387	6234
182	1394	6223
183	1400	6213
184	1407	6201
185	1414	6190
186	1421	6179
187	1428	6169
188	1434	6157
189	1441	6144
190	1447	6132
191	1454	6120
192	1462	6114
193	1471	6115
194	1479	6106
195	1486	6097
196	1493	6088
197	1501	6083
198	1509	6077
199	1520	6080
200	1527	6073
201	1534	6063
202	1541	6052
203	1548	6041
204	1554	6029
205	1562	6021
206	1570	6017
207	1577	6007
208	1584	5998
209	1591	5987
210	1598	5977
211	1604	5965
212	1612	5956
213	1620	5950
214	1627	5941
215	1633	5929
216	1640	5919
217	1649	5915
218	1656	5907
219	1663	5898
220	1671	5892
221	1678	5883
222	1686	5874
223	1692	5863
224	1699	5855
225	1707	5848
226	1715	5840
227	1722	5832
228	1729	5821
229	1735	5811
230	1742	5801
231	1749	5790
232	1755	5780
233	1762	5770
234	1770	5762
235	1777	5752
236	1783	5741
237	1790	5733
238	1797	5722
239	1803	5712
240	1810	5701
241	1817	5691
242	1823	5679
243	1829	5668
244	1836	5659
245	1843	5649
246	1850	5641
247	1856	5630
